Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance
Airport West,22a Walters Av,3,u,820000.0,S,Nelson,28-08-2016,13.5
Airport West,1/145 Parer Rd,3,u,650000.0,PI,Nelson,30-07-2016,13.5
Airport West,3/35 Walters Av,3,t,552000.0,SP,Nelson,30-07-2016,13.5
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,03-09-2016,3.3
Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,03-09-2016,3.3
Albert Park,9 Boyd St,3,h,,SN,Greg,06-08-2016,3.3
Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,06-08-2016,3.3
Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,07-05-2016,3.3
Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,07-05-2016,3.3
Albert Park,81 Richardson St,3,h,,S,Marshall,07-05-2016,3.3
Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,07-11-2016,3.3
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,07-11-2016,3.3
Albert Park,114 Victoria Av,3,h,2485000.0,S,Cayzer,08-10-2016,3.3
Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10-09-2016,3.3
Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10-09-2016,3.3
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10-09-2016,3.3
Albert Park,5 Withers St,3,h,,SN,Marshall,10-09-2016,3.3
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12-06-2016,3.3
Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12-11-2016,3.3
Albert Park,140 Danks St,2,h,,SP,Marshall,13-08-2016,3.3
Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15-10-2016,3.3
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15-10-2016,3.3
Albert Park,1 Herbert Pl,2,h,,S,hockingstuart,15-10-2016,3.3
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15-10-2016,3.3
Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16-04-2016,3.3
Albert Park,28 Dinsdale St,4,h,,S,Marshall,17-09-2016,3.3
Albert Park,36 Ashworth St,3,h,,SP,Marshall,18-06-2016,3.3
Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,18-06-2016,3.3
Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22-05-2016,3.3
Albert Park,9 Merton Pl,3,h,,SP,Marshall,22-05-2016,3.3
Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23-04-2016,3.3
Albert Park,16 Dinsdale St,3,h,,S,Greg,24-09-2016,3.3
Albert Park,51 Graham St,2,h,,PI,Marshall,24-09-2016,3.3
Albert Park,143 Kerferd Rd,7,h,,SN,hockingstuart,24-09-2016,3.3
Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24-09-2016,3.3
Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26-07-2016,3.3
Albert Park,22 Greig St,3,h,3755000.0,S,Greg,26-07-2016,3.3
Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,27-06-2016,3.3
Albert Park,3 Faussett St,2,u,1810000.0,PI,Marshall,27-06-2016,3.3
Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28-05-2016,3.3
Albert Park,7 Herbert Pl,2,h,,SP,Marshall,28-05-2016,3.3
Albert Park,8 Kerferd Pl,4,h,,SP,Marshall,28-05-2016,3.3
Albert Park,5 Reed St,3,h,,SN,Greg,28-05-2016,3.3
Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28-08-2016,3.3
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28-08-2016,3.3
Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,30-07-2016,3.3
Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30-07-2016,3.3
Alphington,30 Austin St,3,h,,SN,McGrath,03-09-2016,6.4
Alphington,6 Smith St,4,h,2000000.0,S,Brace,03-09-2016,6.4
Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,03-09-2016,6.4
Alphington,1/9 Roemer Cr,2,u,480000.0,PI,Miles,07-05-2016,6.4
Alphington,4 Tuckett St,3,h,,S,Jellis,07-05-2016,6.4
Alphington,2/21 Fulham Rd,3,t,1304000.0,SP,Holland,08-10-2016,6.4
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,08-10-2016,6.4
Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12-06-2016,6.4
Alphington,29 Alphington St,5,h,,S,Collins,12-11-2016,6.4
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12-11-2016,6.4
Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12-11-2016,6.4
Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,12-11-2016,6.4
Alphington,4/5 Chandler Hwy,4,t,,PN,Nelson,13-08-2016,6.4
Alphington,69 Lucerne Cr,3,h,1480000.0,S,Nelson,13-08-2016,6.4
Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15-10-2016,6.4
Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16-04-2016,6.4
Alphington,11 Tower Av,4,h,,S,Jellis,16-04-2016,6.4
Alphington,1/17 Rex Av,2,u,590000.0,PI,Nelson,17-09-2016,6.4
Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22-05-2016,6.4
Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22-05-2016,6.4
Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24-09-2016,6.4
Alphington,13a Fulham Rd,3,h,1310000.0,S,Jellis,26-07-2016,6.4
Alphington,32/23 Coate Av,3,h,570000.0,VB,Thomas,27-06-2016,6.4
Alphington,22 Lowther St,3,h,1165000.0,S,Barry,27-06-2016,6.4
Alphington,21 Como St,5,h,,SN,Nelson,28-08-2016,6.4
Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,28-08-2016,6.4
Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30-07-2016,6.4
Altona,158 Queen St,3,h,520000.0,VB,Greg,03-09-2016,13.8
Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,04-06-2016,13.8
Altona,29 Rose St,4,h,1780000.0,SP,Greg,04-06-2016,13.8
Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,06-08-2016,13.8
Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,06-08-2016,13.8
Altona,156 Maidstone St,3,h,660000.0,VB,Greg,07-05-2016,13.8
Altona,11 Keeshan Ct,3,h,683500.0,S,Greg,07-11-2016,13.8
Altona,1/4 Deavey Ct,2,u,540000.0,VB,hockingstuart,08-10-2016,13.8
Altona,1/136 Queen St,2,u,580000.0,S,Barlow,08-10-2016,13.8
Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,08-10-2016,13.8
Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,08-10-2016,13.8
Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,10-09-2016,13.8
Altona,261 Queen St,4,h,1070000.0,S,Barlow,10-09-2016,13.8
Altona,4/5 Rose St,2,u,425000.0,S,hockingstuart,10-09-2016,13.8
Altona,1/152 Blyth St,3,t,743000.0,SP,Gunn&Co,12-11-2016,13.8
Altona,2/6 Galvin St,3,t,650000.0,SP,Williams,12-11-2016,13.8
Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,13-08-2016,13.8
Altona,10 Wilga Av,3,t,916500.0,S,hockingstuart,13-08-2016,13.8
Altona,164 Maidstone St,3,h,635000.0,S,Sweeney,14-05-2016,13.8
Altona,3/25 Rayner St,2,u,620000.0,SP,hockingstuart,14-05-2016,13.8
Altona,3/46 Sargood St,2,u,447000.0,S,Burnham,15-10-2016,13.8
Altona,1/57 Blyth St,3,u,730000.0,SP,Barlow,16-04-2016,13.8
Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,16-04-2016,13.8
Altona,5/8 David St,2,u,580000.0,PI,Biggin,16-07-2016,13.8
Altona,1/28 Seves St,3,h,712000.0,S,hockingstuart,17-09-2016,13.8
Altona,12 Spear Ct,3,t,605100.0,S,hockingstuart,22-05-2016,13.8
Altona,185 Queen St,3,h,880000.0,PI,Barlow,22-08-2016,13.8
Altona,3/20 Mulga St,3,u,577000.0,S,Williams,23-04-2016,13.8
Altona,24 McIntyre Dr,3,h,753000.0,S,Barlow,27-06-2016,13.8
Altona,49 Bent St,3,h,1500000.0,S,Barlow,28-05-2016,13.8
Altona,5/57 Blyth St,3,u,730000.0,SP,Barlow,28-05-2016,13.8
Altona,15 Kookaburra St,3,h,900000.0,S,Sweeney,28-05-2016,13.8
Altona,219 Civic Pde,3,h,740000.0,S,Greg,28-08-2016,13.8
Altona,3 Curtin Ct,4,h,931000.0,S,Sweeney,28-08-2016,13.8
Altona,2/60 David St,2,h,535600.0,SP,Compton,30-07-2016,13.8
Altona North,1 Beuron Rd,3,h,,SP,Williams,03-09-2016,11.1
Altona North,45 Hearn St,5,h,1085000.0,S,FN,03-09-2016,11.1
Altona North,4 Knapp St,3,h,781000.0,S,Jas,03-09-2016,11.1
Altona North,103 Sixth Av,4,h,857500.0,S,hockingstuart,03-09-2016,11.1
Altona North,33 Carthy St,3,h,683000.0,S,FN,04-06-2016,11.1
Altona North,47 Ginifer Av,3,h,,SN,Barry,04-06-2016,11.1
Altona North,16 Harris St,3,h,623000.0,S,Sweeney,04-06-2016,11.1
Altona North,1/5 Little St,3,h,720000.0,VB,Greg,06-08-2016,11.1
Altona North,58a Clematis Av,4,t,780000.0,S,hockingstuart,07-05-2016,11.1
Altona North,1/77 Hansen St,3,u,720000.0,S,hockingstuart,07-05-2016,11.1
Altona North,21 Joel Av,3,h,705000.0,SP,Village,07-05-2016,11.1
Altona North,1/95 Mills St,3,h,588000.0,S,Williams,07-05-2016,11.1
Altona North,2/5 Stapley Cr,4,h,720000.0,VB,hockingstuart,07-05-2016,11.1
Altona North,5 Binns St,3,h,710000.0,PI,Village,07-11-2016,11.1
Altona North,2/9 First Av,2,h,550000.0,SP,RT,07-11-2016,11.1
Altona North,1/28 Irwin Av,3,u,640000.0,VB,hockingstuart,07-11-2016,11.1
Altona North,3/49 Misten Av,3,h,537500.0,SP,hockingstuart,07-11-2016,11.1
Altona North,29a The Broadway,4,t,,PN,Williams,07-11-2016,11.1
Altona North,25 Allan St,4,h,875000.0,SP,Jas,08-10-2016,11.1
Altona North,9 Fourth Av,3,h,800000.0,S,Barlow,08-10-2016,11.1
Altona North,11a Edward Av,3,t,713500.0,S,Greg,10-09-2016,11.1
Altona North,21 Allan St,4,h,650000.0,SP,Williams,12-06-2016,11.1
Altona North,56a First Av,3,h,925000.0,SP,RT,12-11-2016,11.1
Altona North,63a First Av,3,h,,PI,RT,13-08-2016,11.1
Altona North,59 Misten Av,2,h,,PI,Greg,13-08-2016,11.1
Altona North,85a First Av,3,t,670000.0,VB,Greg,14-05-2016,11.1
Altona North,22 Joel Av,3,h,680000.0,SP,Hunter,14-05-2016,11.1
Altona North,11 Mahon Av,3,h,765000.0,S,Greg,14-05-2016,11.1
Altona North,2/36 May St,3,h,675000.0,S,hockingstuart,14-05-2016,11.1
Altona North,11 Beevers St,3,h,708000.0,S,Greg,15-10-2016,11.1
Altona North,2/10 Cleghorn Av,3,t,656000.0,SP,Gunn&Co,15-10-2016,11.1
Altona North,2 Edward Av,4,h,883000.0,S,hockingstuart,15-10-2016,11.1
Altona North,10 Murphy St,4,h,965000.0,SP,Gunn&Co,15-10-2016,11.1
Altona North,128 Second Av,3,h,870000.0,S,Hunter,15-10-2016,11.1
Altona North,5/24 Valerian Av,3,h,681000.0,PI,Village,15-10-2016,11.1
Altona North,2/31 Cooper Av,2,h,522500.0,SA,hockingstuart,16-07-2016,11.1
Altona North,9 Begonia Av,5,h,972000.0,S,Sweeney,17-09-2016,11.1
Altona North,1/36 Amaranth Av,3,t,590000.0,PI,RT,18-06-2016,11.1
Altona North,3/36 Amaranth Av,2,h,450000.0,PI,RT,18-06-2016,11.1
Altona North,61 Cooper Av,3,h,765000.0,S,Greg,18-06-2016,11.1
Altona North,10 Freemans St,3,h,750000.0,VB,Greg,18-06-2016,11.1
Altona North,31 Duosa Rd,3,h,923000.0,S,Greg,22-05-2016,11.1
Altona North,252 Millers Rd,4,h,693000.0,SP,Raine&Horne,22-05-2016,11.1
Altona North,1/156 Chambers Rd,3,h,620000.0,SP,Hunter,22-08-2016,11.1
Altona North,19 Cleghorn Av,3,h,800000.0,S,Buxton,22-08-2016,11.1
Altona North,2 Gadsden St,3,h,728500.0,S,Jas,22-08-2016,11.1
Altona North,24 Hansen St,3,h,931000.0,S,hockingstuart,22-08-2016,11.1
Altona North,4 Prismall St,3,h,988000.0,S,Sweeney,22-08-2016,11.1
Altona North,1/21 Freemans Rd,3,h,590000.0,SP,RT,23-04-2016,11.1
Altona North,122 McIntosh Rd,3,h,590000.0,S,Village,23-04-2016,11.1
Altona North,35 May St,2,h,610000.0,S,RT,24-09-2016,11.1
Altona North,81 Fifth Av,4,h,840000.0,S,hockingstuart,26-07-2016,11.1
Altona North,23 Huxtable Av,3,h,840000.0,S,Sweeney,26-07-2016,11.1
Altona North,155 Chambers Rd,4,h,760000.0,S,Hunter,27-06-2016,11.1
Altona North,61a First Av,3,h,852500.0,S,RT,27-06-2016,11.1
Altona North,268d Mason St,4,t,847500.0,S,RT,27-06-2016,11.1
Altona North,10 Knapp St,3,h,625000.0,PI,Hunter,28-05-2016,11.1
Altona North,4/221 Blackshaws Rd,2,u,292000.0,S,Jas,28-08-2016,11.1
Altona North,56a MacDonald Av,3,t,640000.0,PI,hockingstuart,28-08-2016,11.1
Altona North,126 Sixth Av,3,h,800000.0,SP,RT,30-07-2016,11.1
Armadale,24 Hume St,3,h,,S,RT,03-09-2016,6.3
Armadale,8/19 Mercer Rd,2,u,599000.0,S,Jellis,03-09-2016,6.3
Armadale,12 Alleyne Av,4,h,,S,RT,04-06-2016,6.3
Armadale,3/10 Denbigh Rd,2,u,,SP,hockingstuart,04-06-2016,6.3
Armadale,8/71 Denbigh Rd,2,u,700000.0,VB,Jellis,04-06-2016,6.3
Armadale,11/17 Myamyn St,2,u,3625000.0,S,Jellis,04-06-2016,6.3
Armadale,526 Orrong Rd,4,h,3000000.0,VB,Jellis,04-06-2016,6.3
Armadale,37 Barkly Av,2,h,1930000.0,S,Jellis,06-08-2016,6.3
Armadale,553 Dandenong Rd,5,h,1525000.0,PI,Jellis,07-05-2016,6.3
Armadale,17 Egerton Rd,4,h,,S,Marshall,07-05-2016,6.3
Armadale,9/19 Mercer Rd,3,u,735000.0,PI,Marshall,07-05-2016,6.3
Armadale,6/26 Mercer Rd,2,u,825000.0,S,Jellis,07-05-2016,6.3
Armadale,538a Orrong Rd,3,t,1586000.0,S,RT,07-05-2016,6.3
Armadale,557 Orrong Rd,4,h,,S,Jellis,07-05-2016,6.3
Armadale,5/68 Rose St,3,t,,S,Jellis,07-05-2016,6.3
Armadale,11/38 Wattletree Rd,2,u,,S,hockingstuart,07-05-2016,6.3
Armadale,24 Lambeth Av,5,h,,S,Marshall,07-11-2016,6.3
Armadale,18/41 Kooyong Rd,2,u,645000.0,S,Marshall,08-10-2016,6.3
Armadale,10 William St,1,h,1435000.0,SP,Jellis,08-10-2016,6.3
Armadale,11 Adelaide St,4,h,,SN,hockingstuart,10-09-2016,6.3
Armadale,15/405 Dandenong Rd,1,u,280000.0,PI,hockingstuart,10-09-2016,6.3
Armadale,6A Munro St,3,h,,S,Jellis,12-11-2016,6.3
Armadale,40 New St,2,h,1210000.0,S,Marshall,12-11-2016,6.3
Armadale,35 Northcote Rd,4,h,2801000.0,S,Marshall,12-11-2016,6.3
Armadale,7/17 Myamyn St,3,u,,SP,Marshall,13-08-2016,6.3
Armadale,595 Orrong Rd,3,h,,S,Jellis,13-08-2016,6.3
Armadale,3 Wattletree Rd,3,h,,SN,Gary,14-05-2016,6.3
Armadale,7/53 Wattletree Rd,1,u,390000.0,S,Jellis,14-05-2016,6.3
Armadale,2b Denbigh Rd,3,h,,S,Jellis,15-10-2016,6.3
Armadale,791 High St,3,h,1800000.0,PI,RT,15-10-2016,6.3
Armadale,22 Lambeth Av,4,h,,SN,hockingstuart,15-10-2016,6.3
Armadale,25 Llaneast St,4,h,2200000.0,PI,Jellis,15-10-2016,6.3
Armadale,5 Alleyne Av,4,h,,S,Jellis,16-04-2016,6.3
Armadale,8/569 Orrong Rd,1,u,324000.0,S,Jellis,16-04-2016,6.3
Armadale,19 Sutherland Rd,3,h,,S,Marshall,16-04-2016,6.3
Armadale,17/579 Dandenong Rd,2,u,,S,hockingstuart,16-07-2016,6.3
Armadale,11/26 Gladstone Av,2,u,,S,hockingstuart,16-07-2016,6.3
Armadale,2/1 Munro St,3,u,,SP,Marshall,16-07-2016,6.3
Armadale,1 Cambridge St,2,h,,S,Jellis,17-09-2016,6.3
Armadale,367 Dandenong Rd,6,h,5525000.0,S,Marshall,17-09-2016,6.3
Armadale,10 Egerton Rd,4,h,,S,Jellis,17-09-2016,6.3
Armadale,34a Rose St,2,h,1125000.0,S,RT,17-09-2016,6.3
Armadale,42 Rose St,3,h,2250000.0,S,Marshall,17-09-2016,6.3
Armadale,7/579 Dandenong Rd,2,u,490000.0,PI,Ray,18-06-2016,6.3
Armadale,1/13 Denbigh Rd,3,t,,PI,Marshall,18-06-2016,6.3
Armadale,19 Glassford St,3,h,2365000.0,S,Marshall,18-06-2016,6.3
Armadale,14 New St,3,h,1300000.0,VB,Jellis,18-06-2016,6.3
Armadale,9/38 Northcote Rd,2,u,,SP,Jellis,18-06-2016,6.3
Armadale,7/501 Orrong Rd,3,u,732000.0,S,Gary,18-06-2016,6.3
Armadale,63 Denbigh Rd,3,h,1900000.0,S,Marshall,22-05-2016,6.3
Armadale,1 Derby St,3,h,,S,Marshall,22-05-2016,6.3
Armadale,5/2 Mercer Rd,3,t,,S,Kay,22-05-2016,6.3
Armadale,9/60 Wattletree Rd,2,u,,S,hockingstuart,22-05-2016,6.3
Armadale,13/56 Sutherland Rd,1,u,315000.0,SP,Fletchers,22-08-2016,6.3
Armadale,12 Baldwin St,3,h,,SP,Marshall,23-04-2016,6.3
Armadale,48 Barkly Av,3,h,1992000.0,S,Jellis,23-04-2016,6.3
Armadale,7/22 Derby St,1,u,450000.0,PI,hockingstuart,24-09-2016,6.3
Armadale,1/770 Malvern Rd,2,u,,S,hockingstuart,26-07-2016,6.3
Armadale,1/403 Dandenong Rd,2,u,520000.0,S,hockingstuart,27-06-2016,6.3
Armadale,7 Lambeth Av,4,h,2760000.0,S,Marshall,27-06-2016,6.3
Armadale,17 Kooyong Rd,4,h,2000000.0,PI,Marshall,28-05-2016,6.3
Armadale,896 Malvern Rd,3,h,,S,Kay,28-05-2016,6.3
Armadale,1/31 Mercer Rd,3,u,869000.0,S,Jellis,28-05-2016,6.3
Armadale,8/507 Dandenong Rd,2,u,577000.0,S,Jellis,28-08-2016,6.3
Armadale,8 Derby St,3,h,,SP,Marshall,28-08-2016,6.3
Armadale,1/6 Elm Gr,2,u,,S,hockingstuart,28-08-2016,6.3
Armadale,37 Lambeth Av,3,h,2865000.0,S,Marshall,28-08-2016,6.3
Armadale,16 Llaneast St,5,h,2810000.0,S,Marshall,28-08-2016,6.3
Armadale,2/532 Orrong Rd,2,u,565000.0,S,Ray,28-08-2016,6.3
Armadale,5/555 Orrong Rd,1,u,567000.0,S,hockingstuart,28-08-2016,6.3
Armadale,3/50 Denbigh Rd,2,u,546000.0,SP,hockingstuart,30-07-2016,6.3
Armadale,11 Egerton Rd,2,h,,SN,hockingstuart,30-07-2016,6.3
Armadale,7/844 Malvern Rd,2,u,471500.0,S,Ray,30-07-2016,6.3
Ascot Vale,24 Ayr St,3,h,,S,Jellis,03-09-2016,5.9
Ascot Vale,2/43 Roxburgh St,2,u,455000.0,S,Nelson,03-09-2016,5.9
